"filename", "language", "Python", "Markdown", "JSON with Comments", "JSON", "Batch", "pip requirements", "R Markdown", "HTML", "comment", "blank", "total"
"c:\Users\User\New folder\Game\.scalene-profiles\build_game-2026-03-24T17-55-32-216Z.json", "JSON", 0, 0, 0, 1877, 0, 0, 0, 0, 0, 1, 1878
"c:\Users\User\New folder\Game\.scalene-profiles\input_handlers-2026-03-24T03-22-02-100Z.json", "JSON", 0, 0, 0, 77026, 0, 0, 0, 0, 0, 1, 77027
"c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-10-41-006Z.json", "JSON", 0, 0, 0, 138553, 0, 0, 0, 0, 0, 1, 138554
"c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-13-35-026Z.json", "JSON", 0, 0, 0, 197722, 0, 0, 0, 0, 0, 1, 197723
"c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-30-02-503Z.json", "JSON", 0, 0, 0, 324177, 0, 0, 0, 0, 0, 1, 324178
"c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-36-05-851Z.json", "JSON", 0, 0, 0, 206006, 0, 0, 0, 0, 0, 1, 206007
"c:\Users\User\New folder\Game\INFINITE_ENEMIES.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 0, 23, 91
"c:\Users\User\New folder\Game\Playground\ascii_gen.py", "Python", 230, 0, 0, 0, 0, 0, 0, 0, 19, 28, 277
"c:\Users\User\New folder\Game\Playground\glb_to_ascii.py", "Python", 291, 0, 0, 0, 0, 0, 0, 0, 67, 95, 453
"c:\Users\User\New folder\Game\Playground\tcod_ascii_integration.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 37, 39, 175
"c:\Users\User\New folder\Game\Playground\test_glb_converter.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 14, 31, 158
"c:\Users\User\New folder\Game\Playground\test_model_ascii.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 42
"c:\Users\User\New folder\Game\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\New folder\Game\SPELL_SYSTEM.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\User\New folder\Game\TAG_SYSTEM.md", "Markdown", 0, 190, 0, 0, 0, 0, 0, 0, 0, 62, 252
"c:\Users\User\New folder\Game\TRAIT_XP_SYSTEM.md", "Markdown", 0, 179, 0, 0, 0, 0, 0, 0, 0, 50, 229
"c:\Users\User\New folder\Game\TURN_SYSTEM.md", "Markdown", 0, 61, 0, 0, 0, 0, 0, 0, 0, 19, 80
"c:\Users\User\New folder\Game\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\actions.py", "Python", 881, 0, 0, 0, 0, 0, 0, 0, 150, 205, 1236
"c:\Users\User\New folder\Game\animations.py", "Python", 600, 0, 0, 0, 0, 0, 0, 0, 79, 143, 822
"c:\Users\User\New folder\Game\attributions.rmd", "R Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\User\New folder\Game\build_game.bat", "Batch", 0, 0, 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\Users\User\New folder\Game\build_game.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 7, 6, 41
"c:\Users\User\New folder\Game\character_sheet_ui.py", "Python", 320, 0, 0, 0, 0, 0, 0, 0, 60, 71, 451
"c:\Users\User\New folder\Game\color.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 3, 16, 86
"c:\Users\User\New folder\Game\components\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\New folder\Game\components\ai.py", "Python", 413, 0, 0, 0, 0, 0, 0, 0, 89, 120, 622
"c:\Users\User\New folder\Game\components\base_component.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\User\New folder\Game\components\body_part_actions.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 14, 21, 140
"c:\Users\User\New folder\Game\components\body_parts.py", "Python", 365, 0, 0, 0, 0, 0, 0, 0, 64, 82, 511
"c:\Users\User\New folder\Game\components\consumable.py", "Python", 201, 0, 0, 0, 0, 0, 0, 0, 10, 54, 265
"c:\Users\User\New folder\Game\components\container.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 13, 18, 100
"c:\Users\User\New folder\Game\components\dialogue_generator.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 11, 18, 156
"c:\Users\User\New folder\Game\components\durability.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 20, 15, 92
