Date : 2026-04-02 20:22:03
Directory : c:\Users\User\New folder\Game
Total : 87 files,  1361398 codes, 4433 comments, 5115 blanks, all 1370946 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |    949,875 |          0 |          9 |    949,884 |
| HTML               |          1 |    389,074 |         14 |         32 |    389,120 |
| Python             |         67 |     21,879 |      4,414 |      4,902 |     31,195 |
| Markdown           |          6 |        539 |          0 |        165 |        704 |
| Batch              |          1 |         11 |          3 |          4 |         18 |
| JSON with Comments |          1 |         10 |          2 |          1 |         13 |
| pip requirements   |          1 |          9 |          0 |          1 |         10 |
| R Markdown         |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         87 |  1,361,398 |      4,433 |      5,115 |  1,370,946 |
| . (Files)                                                                                    |         58 |    412,392 |      3,845 |      4,223 |    420,460 |
| .scalene-profiles                                                                            |          6 |    945,361 |          0 |          6 |    945,367 |
| Playground                                                                                   |          5 |        775 |        137 |        193 |      1,105 |
| components                                                                                   |         17 |      2,816 |        441 |        684 |      3,941 |
| dependencies                                                                                 |          1 |         54 |         10 |          9 |         73 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\New folder\Game\.scalene-profiles\build_game-2026-03-24T17-55-32-216Z.json     | JSON               |      1,877 |          0 |          1 |      1,878 |
| c:\Users\User\New folder\Game\.scalene-profiles\input_handlers-2026-03-24T03-22-02-100Z.json | JSON               |     77,026 |          0 |          1 |     77,027 |
| c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-10-41-006Z.json           | JSON               |    138,553 |          0 |          1 |    138,554 |
| c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-13-35-026Z.json           | JSON               |    197,722 |          0 |          1 |    197,723 |
| c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-30-02-503Z.json           | JSON               |    324,177 |          0 |          1 |    324,178 |
| c:\Users\User\New folder\Game\.scalene-profiles\main-2026-03-24T03-36-05-851Z.json           | JSON               |    206,006 |          0 |          1 |    206,007 |
| c:\Users\User\New folder\Game\INFINITE_ENEMIES.md                                            | Markdown           |         68 |          0 |         23 |         91 |
| c:\Users\User\New folder\Game\Playground\ascii_gen.py                                        | Python             |        230 |         19 |         28 |        277 |
| c:\Users\User\New folder\Game\Playground\glb_to_ascii.py                                     | Python             |        291 |         67 |         95 |        453 |
| c:\Users\User\New folder\Game\Playground\tcod_ascii_integration.py                           | Python             |         99 |         37 |         39 |        175 |
| c:\Users\User\New folder\Game\Playground\test_glb_converter.py                               | Python             |        113 |         14 |         31 |        158 |
| c:\Users\User\New folder\Game\Playground\test_model_ascii.json                               | JSON               |         42 |          0 |          0 |         42 |
| c:\Users\User\New folder\Game\README.md                                                      | Markdown           |          2 |          0 |          1 |          3 |
| c:\Users\User\New folder\Game\SPELL_SYSTEM.md                                                | Markdown           |         39 |          0 |         10 |         49 |
| c:\Users\User\New folder\Game\TAG_SYSTEM.md                                                  | Markdown           |        190 |          0 |         62 |        252 |
| c:\Users\User\New folder\Game\TRAIT_XP_SYSTEM.md                                             | Markdown           |        179 |          0 |         50 |        229 |
| c:\Users\User\New folder\Game\TURN_SYSTEM.md                                                 | Markdown           |         61 |          0 |         19 |         80 |
| c:\Users\User\New folder\Game\__init__.py                                                    | Python             |          0 |          0 |          1 |          1 |
| c:\Users\User\New folder\Game\actions.py                                                     | Python             |        881 |        150 |        205 |      1,236 |
| c:\Users\User\New folder\Game\animations.py                                                  | Python             |        600 |         79 |        143 |        822 |
| c:\Users\User\New folder\Game\attributions.rmd                                               | R Markdown         |          1 |          0 |          1 |          2 |
| c:\Users\User\New folder\Game\build_game.bat                                                 | Batch              |         11 |          3 |          4 |         18 |
| c:\Users\User\New folder\Game\build_game.py                                                  | Python             |         28 |          7 |          6 |         41 |
| c:\Users\User\New folder\Game\character_sheet_ui.py                                          | Python             |        320 |         60 |         71 |        451 |
| c:\Users\User\New folder\Game\color.py                                                       | Python             |         67 |          3 |         16 |         86 |
| c:\Users\User\New folder\Game\components\__init__.py                                         | Python             |          0 |          0 |          1 |          1 |
| c:\Users\User\New folder\Game\components\ai.py                                               | Python             |        413 |         89 |        120 |        622 |
| c:\Users\User\New folder\Game\components\base_component.py                                   | Python             |         14 |          0 |          7 |         21 |
| c:\Users\User\New folder\Game\components\body_part_actions.py                                | Python             |        105 |         14 |         21 |        140 |
| c:\Users\User\New folder\Game\components\body_parts.py                                       | Python             |        365 |         64 |         82 |        511 |
| c:\Users\User\New folder\Game\components\consumable.py                                       | Python             |        201 |         10 |         54 |        265 |
| c:\Users\User\New folder\Game\components\container.py                                        | Python             |         69 |         13 |         18 |        100 |
| c:\Users\User\New folder\Game\components\dialogue_generator.py                               | Python             |        127 |         11 |         18 |        156 |
| c:\Users\User\New folder\Game\components\durability.py                                       | Python             |         57 |         20 |         15 |         92 |
| c:\Users\User\New folder\Game\components\effect.py                                           | Python             |        131 |          6 |         31 |        168 |
| c:\Users\User\New folder\Game\components\equipment.py                                        | Python             |        309 |         89 |         95 |        493 |
| c:\Users\User\New folder\Game\components\equippable.py                                       | Python             |         82 |          1 |         26 |        109 |
| c:\Users\User\New folder\Game\components\fighter.py                                          | Python             |        254 |         53 |         75 |        382 |
| c:\Users\User\New folder\Game\components\inventory.py                                        | Python             |         92 |         27 |         25 |        144 |
| c:\Users\User\New folder\Game\components\level.py                                            | Python             |        133 |         22 |         34 |        189 |
| c:\Users\User\New folder\Game\components\names.py                                            | Python             |        129 |          0 |          3 |        132 |
| c:\Users\User\New folder\Game\components\spells.py                                           | Python             |        335 |         22 |         59 |        416 |
| c:\Users\User\New folder\Game\dependencies\roman.py                                          | Python             |         54 |         10 |          9 |         73 |
| c:\Users\User\New folder\Game\dungeon_generator_manager.py                                   | Python             |          0 |          0 |          1 |          1 |
| c:\Users\User\New folder\Game\enchants.py                                                    | Python             |         24 |          0 |         10 |         34 |
| c:\Users\User\New folder\Game\enemy_spawning.py                                              | Python             |         61 |         20 |         23 |        104 |
| c:\Users\User\New folder\Game\engine.py                                                      | Python             |        754 |        130 |        170 |      1,054 |
| c:\Users\User\New folder\Game\entity.py                                                      | Python             |        717 |         72 |        108 |        897 |
| c:\Users\User\New folder\Game\entity_factories.py                                            | Python             |        723 |         26 |         76 |        825 |
| c:\Users\User\New folder\Game\equipment_types.py                                             | Python             |         13 |          1 |          1 |         15 |
| c:\Users\User\New folder\Game\equipment_ui.py                                                | Python             |        518 |         95 |        111 |        724 |
| c:\Users\User\New folder\Game\example_character_mod.py                                       | Python             |          0 |          0 |          1 |          1 |
