Goblin,Pronunciation,Part of speech,English
a,/a/,n.,ear
ad,/ad/,v.,lie
adedarrer,/ˌadeˈdarrer/,adj.,critical
adik,/ˈadik/,adj.,flirtatious
adikh,/ˈadikh/,adv.,probably
adrade,/aˈdrade/,n.,diet
adrukh,/ˈadrukh/,n.,pool
adwur,/ˈadwur/,n.,mist
aekou,/aˈekou̯/,adj.,technological
aet,/ˈaet/,v.,count
ag,/ag/,v.,receive; collect; earn; gain; get; acquire; gather; deposit
agad,/ˈagad/,adv.,clearly
agaga,/aˈgaga/,adv.,quickly
agar,/ˈagar/,adv.,tomorrow
agei,/aˈgei/,adj.,political
agerder,/aˈgerder/,adj.,economic
agetre,/aˈgetre/,adv.,usually
agip,/ˈagip/,n.,sap
agk,/agk/,v.,stop; stall; halt
agouku,/aˈgou̯ku/,adj.,careful
agra,/ˈagra/,n.,police
agragk,/ˈagragk/,adj.,strong
agrep,/ˈagrep/,adj.,academic
agu,/ˈagu/,n.,cell (room in a prison); compartment
agukg,/ˈagukg/,v.,burst
agukg,/ˈagukg/,adj.,national
ahewe,/aˈhewe/,adj.,logical
ahuket,/aˈhuket/,adv.,suddenly
ahup,/ˈahup/,adj.,legal
ahwap,/ˈahwap/,n.,species
ahwaw,/ˈahwaw/,v.,demand
aigk,/ˈaigk/,adv.,recently
ak,/ak/,v.,get; obtain; take; hold; grab; carry; earn; book; remove; take out; deprive; take away; clutch; grasp; abolish; erase; absorb
ak,/ak/,n.,sponge
akakekg,/aˈkakekg/,adj.,offensive
akehatu,/ˌakeˈhatu/,adj.,religious
akg,/akg/,v.,work
akgawu,/akˈgawu/,n.,language
akge,/ˈakge/,n.,tide
akgu,/ˈakgu/,adj.,high
akh,/akh/,pron.,everyone
akheg,/ˈakheg/,n.,journey; trip; voyage
akikaku,/ˌakiˈkaku/,adv.,certainly
akikka,/aˈkikka/,adj.,medical
aku,/ˈaku/,n.,stitch
akuktu,/aˈkuktu/,adj.,oral
ap,/ap/,v.,ask (invite)
apougup,/aˈpou̯gup/,adj.,shiny
apta,/ˈapta/,n.,nut
apta rigkat,/ˈapta ˈrigkat/,n.,coconut
apugk,/ˈapugk/,adj.,cultural
apurrahwi,/ˌapuˈrrahwi/,adv.,especially
ar,/ar/,v.,talk; speak
arakh,/ˈarakh/,adj.,personal
ardap,/ˈardap/,n.,climate
ardi,/ˈardi/,v.,massage
arekh,/ˈarekh/,v.,improve; enhance
argagk,/ˈargagk/,v.,last; survive
arged,/ˈarged/,adj.,smart; intelligent; clever
arou,/ˈarou̯/,adj.,internal
arra,/ˈarra/,n.,woman
aru,/ˈaru/,n.,event (occurrence); incident
at,/at/,adv.,so; very; really; therefore; thus
ata,/ˈata/,v.,indicate
ate,/ˈate/,n.,speed
ategir,/aˈtegir/,adv.,simply
aterap,/aˈterap/,adv.,exactly
atgak,/ˈatgak/,v.,understand; comprehend; grasp
atig,/ˈatig/,n.,spoon
atup,/ˈatup/,adj.,natural
auk,/ˈauk/,adv.,previously
aw,/aw/,n.,section; compartment
awa,/ˈawa/,adj.,normal; medium
awagaru,/ˌawaˈgaru/,adv.,finally
awegku,/aˈwegku/,v.,row
awge,/ˈawge/,v.,copy; imitate; replicate
awi,/ˈawi/,adj.,furious
awouw,/ˈawou̯w/,v.,put (cause to be)
awu,/ˈawu/,v.,breathe
awurdirou,/ˌawurˈdirou̯/,adj.,sticky
da,/da/,adv.,most
dad,/dad/,n.,soil
dad,/dad/,n.,liar
dadar,/ˈdadar/,n.,decade
dadeg,/ˈdadeg/,v.,turn on
dadi,/ˈdadi/,n.,ball; bullet
dadi kit,/ˈdadi kit/,n.,eyeball
dadruk,/ˈdadruk/,v.,tow
dadu,/ˈdadu/,v.,register; book
daewik,/daˈewik/,n.,structure; system
dag,/dag/,adv.,well
dage,/ˈdage/,n.,sock
dagk,/dagk/,n.,position (location)
dagkak,/ˈdagkak/,n.,jewel; gem
dagra,/ˈdagra/,n.,gap; void
dahi,/ˈdahi/,n.,potion; elixir
dahwu,/ˈdahwu/,v.,accuse
dak,/dak/,pron.,who
dake,/ˈdake/,n.,city; metropolis
dakg,/dakg/,prep.,during
dakgour,/ˈdakgou̯r/,n.,pillow; cushion; breast (slang)
dakh,/dakh/,n.,system
dakhek,/ˈdakhek/,v.,rise
daku,/ˈdaku/,n.,trousers; pants
dap,/dap/,v.,stand; stay; remain; persist
dapep,/ˈdapep/,adj.,quiet; silent; shy
dapta,/ˈdapta/,adj.,plain
dar,/dar/,v.,add
darettap,/daˈrettap/,n.,ornament
darigk,/ˈdarigk/,v.,smile
dat,/dat/,adj.,sick; ill; unwell
datar,/ˈdatar/,num.,third
datek,/ˈdatek/,n.,referendum
datew,/ˈdatew/,v.,deal
datga,/ˈdatga/,n.,stick
dattik,/ˈdattik/,v.,sew
dau,/ˈdau/,n.,valley; canyon
daw,/daw/,n.,hour
dawa,/ˈdawa/,adj.,light (weight)
dawe,/ˈdawe/,n.,night; evening
dawe rir,/ˈdawe rir/,n.,midnight
dawi,/ˈdawi/,n.,nephew
dawu,/ˈdawu/,n.,loop; curl
dawu a,/ˈdawu a/,n.,earring
de,/de/,adv.,just; barely; only; hardly
dea,/ˈdea/,v.,giggle
ded,/ded/,n.,bar (pub)
dedarrer,/deˈdarrer/,v.,criticize
dedaw,/ˈdedaw/,n.,wind
dedi,/ˈdedi/,n.,trouble; problem
dedou,/ˈdedou̯/,n.,meat; flesh
dedou tukteg,/ˈdedou̯ ˈtukteg/,n.,pork
dedwir,/ˈdedwir/,n.,cabinet; drawer
deg,/deg/,n.,level (degree; stage)
dega,/ˈdega/,v.,control
dega,/ˈdega/,n.,driver
degak,/ˈdegak/,v.,report; notify; inform
degak,/ˈdegak/,n.,report
degakha,/deˈgakha/,n.,armor
degekpe,/deˈgekpe/,n.,gun; rifle; pistol
degk,/degk/,adv.,however
degtawga,/degˈtawga/,n.,thigh
dek,/dek/,v.,keep (store); store
deka,/ˈdeka/,n.,line
dekg,/dekg/,det.,no
dekgad,/ˈdekgad/,n.,road; street; avenue; trail
dekh,/dekh/,adv.,else; otherwise
dekhe,/ˈdekhe/,v.,cry; sob; weep; mourn
dekpeka,/dekˈpeka/,v.,wonder
dep,/dep/,adj.,white; clear; transparent
deptak,/ˈdeptak/,v.,matter
der,/der/,v.,enter
derar,/ˈderar/,v.,press; squeeze; clutch
deregk,/ˈderegk/,n.,greed
dereki,/deˈreki/,n.,program
derra,/ˈderra/,n.,credit (recognition)
det,/det/,prep.,like
detku,/ˈdetku/,n.,metal
dew,/dew/,v.,leave (let remain); let
dewa,/ˈdewa/,n.,factory
dewe,/ˈdewe/,v.,prepare; rehearse
di,/di/,v.,help; assist; improve; refine
di,/di/,n.,help
diawikh,/diˈawikh/,prep.,beside
did,/did/,n.,skin; bark (of tree); leather
didap,/ˈdidap/,v.,rule; reign
didatew,/diˈdatew/,n.,dealer
dididap,/diˈdidap/,n.,ruler
dig,/dig/,n.,vegetable
digake,/diˈgake/,v.,require; lack
digakhe,/diˈgakhe/,n.,dancer
digapar,/diˈgapar/,n.,poet
digargakpe,/ˌdigarˈgakpe/,n.,tourist
digatke,/diˈgatke/,n.,florist
digei,/diˈgei/,n.,politician
digeki,/diˈgeki/,n.,artist
digergi,/diˈgergi/,n.,monster
digetki,/diˈgetki/,n.,warrior
digidak,/diˈgidak/,n.,runner
digitip,/diˈgitip/,n.,singer
digk,/digk/,n.,trial
digked,/ˈdigked/,adv.,again
diguk,/ˈdiguk/,n.,sailor
digura,/diˈgura/,n.,worker; employee
diguti,/diˈguti/,n.,player
diguttik,/diˈguttik/,n.,painter
dihakhad,/diˈhakhad/,n.,criminal
dihawi,/diˈhawi/,n.,lover
dihekh,/ˈdihekh/,n.,visitor
dihip,/ˈdihip/,n.,farmer
dihup,/ˈdihup/,n.,lawyer
dik,/dik/,v.,flirt
dikada,/diˈkada/,n.,manager
dikakewe,/ˌdikaˈkewe/,n.,drain
dikakg,/ˈdikakg/,n.,hunter
dikaptew,/diˈkaptew/,n.,employer
dikerri,/diˈkerri/,n.,author; writer
dikga,/ˈdikga/,n.,branch (tree part)
dikh,/dikh/,adj.,probable
diki,/ˈdiki/,v.,emphasize
diku,/ˈdiku/,n.,owner
dikugk,/ˈdikugk/,v.,drift
dikur,/ˈdikur/,v.,search; look up; scan
dikutu,/diˈkutu/,n.,killer
dip,/dip/,n.,louse
dipur,/ˈdipur/,n.,teacher
diragka,/diˈragka/,n.,match (for fire)
dirakka,/diˈrakka/,n.,trader
dirardip,/diˈrardip/,n.,stamp
direwak,/diˈrewak/,n.,foreigner
dirgi,/ˈdirgi/,v.,arrest
dirik,/ˈdirik/,n.,scientist
dirik wuk,/ˈdirik wuk/,n.,psychologist
dit,/dit/,n.,authority
ditu,/ˈditu/,prep.,out; outside
diturek,/diˈturek/,n.,prisoner
diw,/diw/,n.,cream
diwagra,/diˈwagra/,n.,locksmith
diwatgi,/diˈwatgi/,n.,vendor
diwip,/ˈdiwip/,n.,chef; cook
dou,/dou̯/,det.,all; both
doug,/dou̯g/,v.,swallow
douk,/dou̯k/,n.,eyelash
doukap,/ˈdou̯kap/,adj.,vague
doup,/dou̯p/,n.,boyfriend
doupi,/ˈdou̯pi/,n.,cord
dour,/dou̯r/,n.,manner
doutket,/ˈdou̯tket/,n.,detail
du,/du/,prep.,after
dud,/dud/,n.,grease
dudi,/ˈdudi/,adj.,awful; terrible
dug,/dug/,v.,happen; occur
dugre,/ˈdugre/,n.,vocabulary
duhed,/ˈduhed/,n.,forehead; brow
duk,/duk/,num.,hundred
duka,/ˈduka/,n.,horizon; panorama
duket,/ˈduket/,v.,escape; flee; dodge
dukge,/ˈdukge/,n.,prostitute
dukh,/dukh/,v.,screw; fuck (slang)
dukha,/ˈdukha/,n.,prey
dup,/dup/,prep.,between; among
dur,/dur/,det.,much
dura,/ˈdura/,adj.,naked; nude
dut,/dut/,n.,chicken
dutek,/ˈdutek/,n.,collar
dutge,/ˈdutge/,n.,gardener
e,/e/,prep.,with (accompanied by)
ed,/ed/,adj.,fat; big
eda,/ˈeda/,adj.,straight
edakhi,/eˈdakhi/,adj.,gray
eg,/eg/,v.,keep (not return)
ega,/ˈega/,v.,drive; chase; ride
egi,/ˈegi/,n.,size; capacity
egk,/egk/,v.,call (request the attendance of)
egra,/ˈegra/,adj.,flat
egu,/ˈegu/,adj.,last (final); last (only remaining)
ehew,/ˈehew/,adj.,serious
ek,/ek/,adj.,right; correct; appropriate
eka,/ˈeka/,n.,sister
eke,/ˈeke/,n.,food; cuisine
ekg,/ekg/,n.,god
ekh,/ekh/,n.,step (footstep)
ekikpig,/eˈkikpig/,n.,top; mountain; lid
ekikpig kit,/eˈkikpig kit/,n.,eyelid
ekou,/ˈekou̯/,n.,technology
ekpep,/ˈekpep/,n.,file
ektegk,/ˈektegk/,n.,skill
ep,/ep/,v.,fill
epak,/ˈepak/,adj.,delicious
epe,/ˈepe/,n.,feather; pen; pencil
eper,/ˈeper/,n.,weapon
eprukh,/ˈeprukh/,n.,camera
er,/er/,v.,use; utilize
er,/er/,n.,use
era,/ˈera/,n.,stump; log
eri,/ˈeri/,n.,clay
et,/et/,adj.,left
eta,/ˈeta/,n.,glass; lens
eta kit,/ˈeta kit/,n.,glasses
etkegk,/ˈetkegk/,n.,alphabet
etret,/ˈetret/,n.,back (of body); back (reverse side)
ettu,/ˈettu/,pron.,everything
etu,/ˈetu/,v.,join; connect
etu,/ˈetu/,n.,joint
etur,/ˈetur/,n.,table; bench; desk
ewa,/ˈewa/,n.,harmony; melody
ewakha,/eˈwakha/,n.,adult
ewta,/ˈewta/,n.,bark (of tree)
ewukh,/ˈewukh/,adj.,past
ga,/ga/,prep.,by (using the means of); by (using a route)
gad,/gad/,v.,clear
gada,/ˈgada/,adj.,long
gadega,/gaˈdega/,n.,control
gader,/ˈgader/,n.,entrance
gadew,/ˈgadew/,v.,wiggle
gadrag,/ˈgadrag/,n.,insect
gae,/ˈgae/,v.,flow
gaeg,/ˈgaeg/,v.,wake; wake up; get up
gag,/gag/,conj.,and
gaga,/ˈgaga/,adj.,quick
gagaka,/gaˈgaka/,n.,analysis
gagakpu,/gaˈgakpu/,n.,division
gage,/ˈgage/,n.,apple
gagekew,/gaˈgekew/,n.,carpet
gagewe,/gaˈgewe/,n.,experience
gagiou,/gaˈgiou̯/,n.,belief
gagk,/gagk/,n.,question
gagkegk,/ˈgagkegk/,n.,emotion; affection
gagkek,/ˈgagkek/,v.,lift; raise; boost; erect; escalate
gagku,/ˈgagku/,n.,uncle
gagkur,/ˈgagkur/,v.,lay; fuck (slang)
gagra,/ˈgagra/,n.,elbow
gagrad,/ˈgagrad/,conj.,unless
gagrake,/gaˈgrake/,n.,behavior
gagrake,/gaˈgrake/,n.,action (movement)
gagrakup,/gaˈgrakup/,n.,pleasure
gagrar,/ˈgagrar/,n.,wool; fur
gagrat,/ˈgagrat/,n.,loss
gagre,/ˈgagre/,adj.,complicated; complex; intricate
gagri,/ˈgagri/,n.,birth
gagrid,/ˈgagrid/,n.,decision
gagrup,/ˈgagrup/,n.,scale (instrument for weighing)
gagte,/ˈgagte/,v.,acquire
gaguda,/gaˈguda/,n.,settlement (village)
gagukgi,/gaˈgukgi/,n.,reflection
gagura,/gaˈgura/,n.,work
gahad,/ˈgahad/,n.,earthquake
gahagru,/gaˈhagru/,n.,offer
gahat,/ˈgahat/,n.,fight
gahedwa,/gaˈhedwa/,n.,cause
gahwat,/ˈgahwat/,n.,pepper
gaip,/ˈgaip/,n.,need
gak,/gak/,prep.,against
gaka,/ˈgaka/,v.,analyze; examine
gakad,/ˈgakad/,n.,office
gakagk,/ˈgakagk/,n.,movement; motion
gakaka,/gaˈkaka/,n.,treatment
gakakuk,/gaˈkakuk/,n.,permission
gakap,/ˈgakap/,n.,jaw
gakawad,/gaˈkawad/,n.,hearing
gakawir,/gaˈkawir/,n.,agreement
gake,/ˈgake/,interj.,no
gakep,/ˈgakep/,adj.,funny
gakeprak,/gaˈkeprak/,n.,repetition
gaketek,/gaˈketek/,n.,proof
gakg,/gakg/,adj.,tired (needing sleep); tired (needing rest)
gakgep,/ˈgakgep/,n.,arm; hand; palm (of hand)
gakh,/gakh/,conj.,even
gakhe,/ˈgakhe/,v.,dance
gakhep,/ˈgakhep/,adv.,now
gakidaw,/gaˈkidaw/,n.,value
gakipre,/gaˈkipre/,n.,defense
gakipre,/gaˈkipre/,n.,protection
gakita,/gaˈkita/,n.,suggestion
gakiti,/gaˈkiti/,n.,kiss
gakiweti,/ˌgakiˈweti/,n.,election
gakka,/ˈgakka/,n.,west
gakke,/ˈgakke/,n.,expert
gakour,/ˈgakou̯r/,n.,death
gakpe,/ˈgakpe/,adj.,ready; ripe
gakpu,/ˈgakpu/,v.,divide; segregate
gakta,/ˈgakta/,v.,relate; correlate
gakte,/ˈgakte/,n.,volume
gakti,/ˈgakti/,n.,bee
gakukg,/ˈgakukg/,n.,discovery
gakukg,/ˈgakukg/,n.,perception
gakupe,/gaˈkupe/,n.,choice
gaou,/ˈgaou̯/,n.,object
gap,/gap/,v.,pay
gapa,/ˈgapa/,num.,second
gapadwa,/gaˈpadwa/,n.,study
gapar,/ˈgapar/,n.,verse; poem
gape,/ˈgape/,n.,wrist; ankle
gapep,/ˈgapep/,v.,mean (intend)
gapou,/ˈgapou̯/,n.,appearance (act of appearing)
gapri,/ˈgapri/,n.,bitch
gapta,/ˈgapta/,n.,assassin
gapte,/ˈgapte/,n.,swamp
gaptu,/ˈgaptu/,n.,bridge
gapukg,/ˈgapukg/,n.,arrival
gar,/gar/,n.,state (condition); condition (state)
gara,/ˈgara/,num.,six
garat,/ˈgarat/,v.,ban; prohibit
gardat,/ˈgardat/,n.,kitchen; cuisine
gardi,/ˈgardi/,n.,worm
garega,/gaˈrega/,n.,exam
garekg,/ˈgarekg/,n.,thought
garerekh,/gaˈrerekh/,n.,victory
gargakpe,/garˈgakpe/,v.,travel
gargikg,/ˈgargikg/,n.,circle; wheel; ring; disk
gari,/ˈgari/,n.,window
garu,/ˈgaru/,v.,finish; complete; expire
garu,/ˈgaru/,n.,end
gat,/gat/,adv.,always; all the time
gata,/ˈgata/,adj.,stiff; stubborn
gatadat,/gaˈtadat/,n.,excitement
gatagura,/ˌgataˈgura/,n.,failure
gataka,/gaˈtaka/,adj.,thick; fat
gatar,/ˈgatar/,n.,flight
gatekh,/ˈgatekh/,n.,memory
gatekh,/ˈgatekh/,n.,recognition
gatgap,/ˈgatgap/,v.,drown; muffle
gatgeka,/gatˈgeka/,n.,shield
gatke,/ˈgatke/,n.,flower
gatrad,/ˈgatrad/,n.,bathroom
gatre,/ˈgatre/,n.,purpose; reason
gatti,/ˈgatti/,v.,stab; pierce
gatu,/ˈgatu/,n.,spirit
gatug,/ˈgatug/,adj.,dry
gaturge,/gaˈturge/,n.,description
gaturge,/gaˈturge/,n.,explanation
gaugrou,/gaˈugrou̯/,n.,destruction
gaukak,/gaˈukak/,n.,existence
gaw,/gaw/,n.,lot
gawad,/ˈgawad/,adj.,cute
gawakh,/ˈgawakh/,n.,mathematics
gawap,/ˈgawap/,v.,burn; cook (heat food); light
gawapet,/gaˈwapet/,n.,coin
gawe,/ˈgawe/,n.,challenge
gawed,/ˈgawed/,n.,rumor; scandal
gawekh,/ˈgawekh/,v.,rest; relax
gawer,/ˈgawer/,v.,try (test out); inspect
gawewer,/gaˈwewer/,n.,discussion
gawtak,/ˈgawtak/,v.,fit
gawti,/ˈgawti/,n.,bulb (plant root)
gawud,/ˈgawud/,conj.,when
gawug,/ˈgawug/,v.,tie; attach
ge,/ge/,v.,be (temporary state); be (located)
gea,/ˈgea/,adj.,yellow; orange; brown
ged,/ged/,adj.,safe
geda,/ˈgeda/,prep.,through
gedek,/ˈgedek/,n.,fort; citadel
gedrouka,/geˈdrou̯ka/,n.,mass
geg,/geg/,n.,morning
gega,/ˈgega/,n.,sugar
gegk,/gegk/,n.,research
gegta,/ˈgegta/,n.,flame
gegtar,/ˈgegtar/,n.,cat
gegu,/ˈgegu/,n.,buttocks
gegukik,/geˈgukik/,n.,cake
gehwedre,/geˈhwedre/,v.,spend
gei,/ˈgei/,n.,politics
gek,/gek/,n.,part
geka,/ˈgeka/,n.,parcel; package; bundle
